Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Ismael Bonfim,loss,Nazim Sadykhov,0,26,0,0,"UFC Fight Night: Cannonier vs. Rodrigues                                   Feb. 15, 2025",KO/TKO,1,5:00
Ismael Bonfim,win,Vinc Pichel,0,111,1,0,"UFC 301: Pantoja vs. Erceg                                   May. 04, 2024",U-DEC,3,5:00
Ismael Bonfim,loss,Benoit Saint Denis,0,14,0,0,"UFC Fight Night: Strickland vs. Magomedov                                   Jul. 01, 2023",SUB,1,4:48
Ismael Bonfim,win,Terrance McKinney,1,34,1,0,"UFC 283: Teixeira vs. Hill                                   Jan. 21, 2023",KO/TKO,2,2:17
Ismael Bonfim,win,Nariman Abbasov,1,85,1,0,"DWCS 6.7                                   Sep. 06, 2022",U-DEC,3,5:00
Jesse Bongfeldt,loss,Chris Weidman,0,5,0,0,"UFC 131: Dos Santos vs Carwin                                   Jun. 11, 2011",SUB,1,4:54
Jesse Bongfeldt,draw,Rafael Natal,0,53,2,0,"UFC 124: St-Pierre vs Koscheck 2                                   Dec. 11, 2010",M-DEC,3,5:00
Stephan Bonnar,loss,Anderson Silva,0,12,0,0,"UFC 153: Silva vs Bonnar                                   Oct. 13, 2012",KO/TKO,1,4:40
Stephan Bonnar,win,Kyle Kingsbury,0,36,4,1,"UFC 139: Shogun vs Henderson                                   Nov. 19, 2011",U-DEC,3,5:00
Stephan Bonnar,win,Igor Pokrajac,0,44,3,1,"The Ultimate Fighter: Team GSP vs Team Koscheck Finale                                   Dec. 04, 2010",U-DEC,3,5:00
Stephan Bonnar,win,Krzysztof Soszynski,1,48,2,0,"UFC 116: Lesnar vs Carwin                                   Jul. 03, 2010",KO/TKO,2,3:08
Stephan Bonnar,loss,Krzysztof Soszynski,0,36,2,0,"UFC 110: Nogueira vs Velasquez                                   Feb. 20, 2010",KO/TKO,3,1:04
Stephan Bonnar,loss,Mark Coleman,0,26,0,3,"UFC 100                                   Jul. 11, 2009",U-DEC,3,5:00
Stephan Bonnar,loss,Jon Jones,0,37,0,0,"UFC 94: St-Pierre vs Penn 2                                   Jan. 31, 2009",U-DEC,3,5:00
Stephan Bonnar,win,Eric Schafer,0,30,0,0,"UFC 77: Hostile Territory                                   Oct. 20, 2007",KO/TKO,2,2:47
Stephan Bonnar,win,Mike Nickels,0,2,0,2,"UFC 73: Stacked                                   Jul. 07, 2007",SUB,1,2:14
Stephan Bonnar,loss,Forrest Griffin,0,41,0,0,"UFC 62: Liddell vs Sobral                                   Aug. 26, 2006",U-DEC,3,5:00
