Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Liz Carmouche,loss,Alexis Davis,0,43,1,0,"UFC Fight Night: Fight for the Troops 3                                   Nov. 06, 2013",U-DEC,3,5:00
Liz Carmouche,win,Jessica Andrade,0,50,3,1,"UFC on FOX: Johnson vs Moraga                                   Jul. 27, 2013",KO/TKO,2,3:57
Liz Carmouche,loss,Ronda Rousey,0,4,0,1,"UFC 157: Rousey vs Carmouche                                    Feb. 23, 2013",SUB,1,4:49
Liz Carmouche,loss,Sarah Kaufman,0,81,1,0,"Strikeforce Challengers 17                                   Jul. 22, 2011",U-DEC,3,5:00
Liz Carmouche,loss,Marloes Coenen,0,45,2,0,"Strikeforce - Feijao vs. Henderson                                    Mar. 05, 2011",SUB,4,1:29
Liz Carmouche,win,Jan Finney,0,81,3,0,"Strikeforce Challengers 12                                   Nov. 19, 2010",KO/TKO,3,1:30
Liz Carmouche,win,Colleen Schneider,0,15,2,0,"Strikeforce Challengers 10                                   Aug. 13, 2010",U-DEC,2,3:00
Roan Carneiro,loss,Ryan LaFlare,0,19,0,0,"UFC 208: Holm vs. De Randamie                                   Feb. 11, 2017",U-DEC,3,5:00
Roan Carneiro,win,Kenny Robertson,0,33,2,0,"UFC Fight Night: Poirier vs. Johnson                                   Sep. 17, 2016",S-DEC,3,5:00
Roan Carneiro,loss,Derek Brunson,0,0,0,0,"UFC Fight Night: Cowboy vs Cowboy                                   Feb. 21, 2016",KO/TKO,1,2:38
Roan Carneiro,win,Mark Munoz,0,1,0,1,"UFC 184: Rousey vs Zingano                                   Feb. 28, 2015",SUB,1,1:40
Roan Carneiro,loss,Ryo Chonan,0,18,2,1,"UFC 88: Breakthrough                                   Sep. 06, 2008",S-DEC,3,5:00
